link,title,price,rating,review
/gp/bestsellers/luggage/2917444031/ref=sr_bs_0_2917444031_1,,,4.1 out of 5 stars,
/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-1#customerReviews,American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY),₹999.00,4.1 out of 5 stars,"51,475 ratings"
/gp/goldbox/,,,,
/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-1&ref_=via_bndl_av,,,,
/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-2#customerReviews,,,,
/gp/goldbox/,,,,
/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-3#customerReviews,,,,
/gp/goldbox/,,,,
/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sxin_15_in_ft_top_brands_non_branded_t1?content-id=amzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d%3Aamzn1.sym.96f246d6-ce72-46fc-883f-32ffe859766d&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07CJCGM1M&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=32uTw&pd_rd_wg=2YGGD&pf_rd_p=96f246d6-ce72-46fc-883f-32ffe859766d&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-1-fa25b4f9-cd15-464b-8e7e-380c0a70e7f6#customerReviews,,,,
/gp/goldbox/,,,,
